;1;2;3;4;5;b
1;-170008.462202567;-145577.46268473798;-75640.08140507502;-40674.168750510944;-16086.036373149023;85003711.96115556
2;-57630.760768572734;-14345.583697531843;-15759.11743693476;-9717.583755215375;-5967.109667075737;31589384.454430763
3;-39610.01407812174;-53912.511931070214;-21372.859300708566;-11521.981606038265;-4536.076962600194;42129087.31961474
4;-31783.3145333579;-27340.94210114372;-16911.4480267212;-9133.508719112517;-3068.038149837716;37996745.11993763
5;-37446.74755963238;-20357.451572019167;-14180.2557579476;-8793.706666044673;-4157.423908137204;34916809.695120655
6;-31712.462161728712;-22908.160549678618;-16071.961608416861;-8984.43114981844;-2972.1740199251044;36262972.41573035
7;-37851.76993951045;-23257.807414491785;-16647.332784736445;-9154.859438085467;-3788.940949958194;36925068.55073537
8;-32353.164648752972;-21521.936728643737;-14690.560331089133;-9108.521220304025;-3156.0260836382727;35591846.238074906
9;-35019.02746599325;-22469.212087101652;-15722.064733165247;-9152.321255985695;-3448.081012660969;36333206.80584638
10;-34654.66886320666;-22294.44639350254;-15522.315881000026;-9153.86780161193;-3418.0920368912625;36205843.08575235
11;-33790.167235051515;-22185.96768623031;-15407.398857273738;-9110.562646162627;-3284.7172333333333;36111755.048868604
12;-33793.03520428736;-22185.8581703585;-15410.26682650958;-9113.430615398469;-3284.7172333333333;36113893.10623139
13;-34161.37179978453;-22234.803441884953;-15460.389289030514;-9144.892530567344;-3341.58114100383;36162202.78409945
14;-34212.73121470511;-22286.222022599664;-15511.748703951092;-9144.915208870181;-3341.5811410038305;36199668.7309241
15;-33792.391722148495;-21880.79838359989;-15091.409211394479;-9151.460677082941;-3341.58114100383;35903856.91591598
16;-33834.21924161319;-22241.56656487765;-15439.244670658716;-9138.227227060148;-3286.8984433107653;36155634.77084352
17;-34219.28051121839;-22307.682765773923;-15518.298000464378;-9151.464505383468;-3341.581141003829;36215122.711495586
18;-34219.27668819332;-22307.682629935982;-15518.294177439313;-9151.460682358404;-3341.581141003828;36215123.4816641
19;-34219.26131105107;-22307.691226589755;-15518.278800297057;-9151.445305216148;-3341.58114100383;36215143.83084493
20;-34219.26050059035;-22307.690416129044;-15518.277989836344;-9151.444494755433;-3341.581141003829;36215144.771321945
21;-34219.241677665654;-22307.667334179667;-15518.259166911637;-9151.425671830726;-3341.58114100383;36215129.14647022
22;-34219.23433026184;-22307.664245800523;-15518.251819507828;-9151.418324426919;-3341.581141003829;36215133.76399575
23;-34219.22686609316;-22307.656781631842;-15518.24435533914;-9151.410860258231;-3341.5811410038305;36215135.03773846
24;-34219.2265065209;-22307.656422059583;-15518.243995766881;-9151.410500685972;-3341.5811410038305;36215134.69964661
25;-34219.226521064746;-22307.65643660343;-15518.244010310733;-9151.410515229822;-3341.581141003829;36215134.71358581
